id,cond,gender,dv0,dv1,l1_proficiency,l2_proficiency,U,D
1,L2,1,1,.2,6,6.75,.80000001,1.0000001
2,L2,2,1,.2,4.5,7,.80000001,1.0000001
3,L2,2,.89999998,.60000002,6,7,.29999995,.85714281
4,L2,1,1,.69999999,6,7,.30000001,1
5,L2,1,.89999998,.30000001,6.5,6.25,.59999996,.74999994
6,L2,2,.89999998,.33333334,3.25,7,.5666666,.76923066
7,L2,2,1,.5,5.5,7,.5,1
8,L2,2,1,.30000001,5.75,7,.69999999,1
9,L2,1,1,1,5.75,7,0,1
10,L2,1,1,.40000001,5.25,7,.60000002,1.0000001
11,L2,2,1,.69999999,5.25,6.75,.30000001,1
12,L2,1,.80000001,.40000001,5.75,6.75,.40000001,.66666669
13,L2,2,.69999999,.69999999,2.75,7,0,.69999999
14,L2,1,1,.69999999,6,7,.30000001,1
15,L2,2,1,.89999998,6,7,.10000002,1
16,L2,1,.69999999,.69999999,4,7,0,.69999999
17,L2,1,1,.60000002,4.5,7,.39999998,1
18,L2,2,1,.69999999,7,7,.30000001,1
19,L2,1,.89999998,.60000002,6,7,.29999995,.85714281
20,L2,1,.60000002,.60000002,3.5,6,0,.60000002
21,L2,1,.89999998,.2,6.5,7,.69999999,.66666663
22,L2,2,.60000002,0,5,7,.60000002,0
23,L2,1,.89999998,.40000001,5.75,7,.49999997,.79999995
24,L2,2,.69999999,0,5.5,7,.69999999,0
25,L2,2,.60000002,.40000001,4.75,6.75,.20000002,.5
26,L2,2,.89999998,.40000001,5.25,6.75,.49999997,.79999995
27,L2,1,.69999999,.5,5.25,6.5,.19999999,.625
28,L2,1,.69999999,.30000001,5.5,6.75,.39999998,.5
29,L2,1,1,.60000002,1.5,1.25,.39999998,1
30,L2,1,1,.5,6,7,.5,1
31,L2,1,.80000001,.89999998,7,7,-.099999964,.81818181
32,L2,1,.40000001,.2,4,7,.2,.25
33,L2,1,1,.80000001,5,6.75,.19999999,1
34,L2,2,.89999998,.30000001,7,7,.59999996,.74999994
35,L2,1,.89999998,.30000001,4,7,.59999996,.74999994
36,L2,1,.40000001,.2,6.5,7,.2,.25
37,L2,1,.60000002,.30000001,5.25,7,.30000001,.42857146
38,L2,2,.5,.30000001,7,7,.19999999,.375
39,L2,2,.89999998,.60000002,4.5,7,.29999995,.85714281
40,L2,1,.69999999,.2,6.25,7,.5,.40000001
41,L2,1,1,.89999998,3.5,7,.10000002,1
42,L2,1,1,.1,6.25,6.5,.89999998,.99999976
43,L2,2,.8888889,.375,5,6.5,.5138889,.77142859
44,L2,2,.69999999,0,5,7,.69999999,0
45,L2,1,.80000001,.5,5.25,7,.30000001,.71428573
46,L2,1,.60000002,.1,5.5,6.75,.5,.2
47,L2,1,.69999999,.60000002,4,7,.099999964,.66666669
48,L2,2,.60000002,0,5,7,.60000002,0
49,L2,2,.60000002,.5,6,7,.10000002,.55555558
50,L2,1,.80000001,.5,5.5,7,.30000001,.71428573
51,L2,2,.80000001,0,5.25,7,.80000001,0
52,L2,1,.80000001,.1,4.5,7,.69999999,.33333331
53,L2,2,1,1,4.75,7,0,1
54,L2,1,1,.80000001,5.75,7,.19999999,1
55,L2,1,1,.2,4.75,6.5,.80000001,1.0000001
56,L2,1,.80000001,.5,5.75,7,.30000001,.71428573
57,L2,1,1,.40000001,5.25,6.75,.60000002,1.0000001
58,L2,1,1,.89999998,4.5,5.5,.10000002,1
59,L2,1,.30000001,.2,4.25,6,.10000001,.22222222
60,L2,2,.80000001,.69999999,4.75,7,.10000002,.77777779
61,L2,2,.89999998,.40000001,5.75,7,.49999997,.79999995
62,L2,1,.80000001,.30000001,5.5,7,.5,.60000002
63,L2,2,1,.1,6.5,7,.89999998,.99999976
64,L2,1,1,.60000002,5.5,6.75,.39999998,1
65,L2,2,.60000002,.30000001,6.25,6.75,.30000001,.42857146
66,L2,2,1,.60000002,4,7,.39999998,1
67,L2,2,1,.69999999,7,7,.30000001,1
68,L2,1,.60000002,.5,4.25,7,.10000002,.55555558
69,L2,1,1,.69999999,6,7,.30000001,1
70,L2,1,.2,.77777779,4,4.25,-.5777778,.49295774
71,L2,2,.80000001,.80000001,5,7,0,.80000001
72,L2,2,.40000001,.40000001,4.75,7,0,.40000001
73,L2,2,0,0,5,7,0,0
74,L2,2,.60000002,.60000002,6.5,7,0,.60000002
75,L2,1,.89999998,.2,6,7,.69999999,.66666663
76,L2,2,.69999999,.30000001,5,7,.39999998,.5
77,L2,1,.1,.2,5.25,7,-.1,.18181819
78,L2,1,.80000001,.30000001,4,7,.5,.60000002
79,L2,2,1,.80000001,5.25,7,.19999999,1
80,L2,1,1,.80000001,6,7,.19999999,1
81,L2,1,.89999998,.80000001,5.25,7,.099999964,.8888889
82,L2,1,.80000001,.5,4.5,7,.30000001,.71428573
83,L2,1,.5,.60000002,6.75,7,-.10000002,.54545456
84,L2,2,.69999999,.80000001,3,7,-.10000002,.72727275
85,L2,1,1,.80000001,4,7,.19999999,1
86,L2,2,.89999998,.30000001,5.5,7,.59999996,.74999994
87,L2,1,.80000001,.60000002,6,7,.19999999,.75
88,L2,2,.40000001,.5,5,7,-.099999994,.45454547
89,L2,2,.60000002,.2,5.75,7,.40000004,.33333337
90,L2,2,1,.40000001,4.75,6.75,.60000002,1.0000001
91,L2,1,1,.69999999,6,7,.30000001,1
92,L2,1,0,0,6,5.25,0,0
93,L2,2,.80000001,.89999998,5,7,-.099999964,.81818181
94,L2,2,.44444445,.66666669,4,7,-.22222224,.54545456
95,L2,2,.69999999,0,5.75,7,.69999999,0
96,L2,1,.80000001,.40000001,5.5,7,.40000001,.66666669
97,L2,2,.89999998,.5,4,7,.39999998,.83333331
98,L2,2,1,.80000001,3.5,7,.19999999,1
99,L2,1,.80000001,.80000001,5,6.75,0,.80000001
100,L2,1,1,.60000002,5,7,.39999998,1
101,L2,2,.80000001,.5,4,4,.30000001,.71428573
102,L2,2,.80000001,.30000001,1.25,7,.5,.60000002
103,L2,1,.80000001,.5,5.75,6.75,.30000001,.71428573
104,L1,2,.60000002,.5,6.25,7,.10000002,.55555558
105,L1,1,.69999999,.2,6,7,.5,.40000001
106,L1,2,1,.66666669,4.75,7,.33333331,1
107,L1,2,.80000001,.1,5.75,7,.69999999,.33333331
108,L1,2,.89999998,.80000001,6.25,7,.099999964,.8888889
109,L1,1,1,.40000001,6,7,.60000002,1.0000001
110,L1,2,.89999998,.1,6.5,7,.79999995,.49999988
111,L1,2,1,.69999999,6,7,.30000001,1
112,L1,2,.40000001,.40000001,5.25,7,0,.40000001
113,L1,1,1,.66666669,4.5,7,.33333331,1
114,L1,1,.89999998,.2,5.75,7,.69999999,.66666663
115,L1,1,1,1,5.75,7,0,1
116,L1,1,.89999998,.60000002,5,7,.29999995,.85714281
117,L1,1,.89999998,.69999999,4,7,.19999999,.875
118,L1,2,1,.89999998,6,7,.10000002,1
119,L1,2,1,.89999998,6,7,.10000002,1
120,L1,2,.69999999,0,4,7,.69999999,0
121,L1,2,.69999999,.40000001,5,6,.29999998,.57142854
122,L1,2,1,.69999999,5.5,6.75,.30000001,1
123,L1,2,.5714286,.55555558,2,7,.015873015,.56451613
124,L1,1,.89999998,.2,1.25,7,.69999999,.66666663
125,L1,1,1,.30000001,6.25,7,.69999999,1
126,L1,1,.89999998,0,5.75,6.75,.89999998,0
127,L1,1,1,.30000001,5.5,7,.69999999,1
128,L1,1,.89999998,.5,5.75,7,.39999998,.83333331
129,L1,2,.89999998,.40000001,6,7,.49999997,.79999995
130,L1,1,.60000002,.625,5,6.75,-.024999976,.60975611
131,L1,2,1,1,3.5,5.75,0,1
132,L1,2,1,.69999999,5.5,7,.30000001,1
133,L1,1,.89999998,.60000002,4.75,6.5,.29999995,.85714281
134,L1,2,1,.2,5.5,7,.80000001,1.0000001
135,L1,2,1,.60000002,5.5,7,.39999998,1
136,L1,2,.2,.1,5,7,.1,.11111111
137,L1,2,.69999999,.40000001,6.25,6.75,.29999998,.57142854
138,L1,2,1,.80000001,6.25,7,.19999999,1
139,L1,2,.69999999,.69999999,6,7,0,.69999999
140,L1,2,.89999998,.60000002,6.75,7,.29999995,.85714281
141,L1,1,1,.69999999,5,6.75,.30000001,1
142,L1,1,.89999998,.60000002,4.25,7,.29999995,.85714281
143,L1,1,.5,.2,5.25,7,.30000001,.2857143
144,L1,2,1,.5,4.75,7,.5,1
145,L1,2,.89999998,.40000001,5,7,.49999997,.79999995
146,L1,1,.80000001,.60000002,4.5,6.75,.19999999,.75
147,L1,1,.89999998,.69999999,6,6,.19999999,.875
148,L1,1,.80000001,.30000001,5.75,6.75,.5,.60000002
149,L1,1,.5,.1,5,6.75,.40000001,.16666667
150,L1,2,1,.40000001,4,7,.60000002,1.0000001
151,L1,1,1,.40000001,5.75,5.75,.60000002,1.0000001
152,L1,1,.60000002,.5,5.5,7,.10000002,.55555558
153,L1,2,.80000001,.69999999,5.5,7,.10000002,.77777779
154,L1,2,.5,.25,4.75,7,.25,.33333334
155,L1,2,.89999998,.60000002,4.25,7,.29999995,.85714281
156,L1,2,.89999998,.80000001,6.5,7,.099999964,.8888889
157,L1,1,.89999998,.75,6.25,7,.14999998,.88235289
158,L1,2,1,.5,4.25,7,.5,1
159,L1,1,.80000001,.5,4.75,7,.30000001,.71428573
160,L1,1,1,.69999999,5,6.5,.30000001,1
161,L1,1,1,.40000001,5.5,7,.60000002,1.0000001
162,L1,1,.89999998,.69999999,5,7,.19999999,.875
163,L1,1,.69999999,.2,5.5,6.5,.5,.40000001
164,L1,1,1,.40000001,5.25,7,.60000002,1.0000001
165,L1,1,.89999998,.40000001,5.5,5.75,.49999997,.79999995
166,L1,1,.60000002,.60000002,5,6,0,.60000002
167,L1,2,.89999998,.2,4,7,.69999999,.66666663
168,L1,2,.89999998,.40000001,6,7,.49999997,.79999995
169,L1,1,.60000002,.40000001,6.25,7,.20000002,.5
170,L1,1,.89999998,.40000001,5.5,7,.49999997,.79999995
171,L1,2,.42857143,.2857143,4,7,.14285713,.33333334
172,L1,1,1,.80000001,6,7,.19999999,1
173,L1,1,.69999999,.60000002,5,7,.099999964,.66666669
174,L1,1,1,.66666669,6.75,7,.33333331,1
175,L1,2,.69999999,.2,5.5,7,.5,.40000001
176,L1,2,1,.80000001,6,7,.19999999,1
177,L1,2,1,.40000001,4.75,7,.60000002,1.0000001
178,L1,1,.60000002,.60000002,2.25,6,0,.60000002
179,L1,1,1,.80000001,6,7,.19999999,1
180,L1,2,.89999998,.80000001,6.5,7,.099999964,.8888889
181,L1,1,1,.8888889,5.75,7,.1111111,1
182,L1,1,.40000001,.40000001,2.5,7,0,.40000001
183,L1,1,.89999998,.89999998,6,7,0,.89999998
184,L1,1,1,.69999999,3.5,7,.30000001,1
185,L1,2,1,.60000002,5.75,7,.39999998,1
186,L1,2,1,.89999998,5.5,7,.10000002,1
187,L1,2,1,.89999998,5,7,.10000002,1
188,L1,1,.89999998,.40000001,6.5,7,.49999997,.79999995
189,L1,1,1,.60000002,5.75,7,.39999998,1
190,L1,1,.80000001,.40000001,5,7,.40000001,.66666669
191,L1,2,.89999998,1,3.75,7,-.10000002,.90909088
192,L1,1,1,.60000002,5.25,7,.39999998,1
193,L1,2,1,.2,6,6,.80000001,1.0000001
194,L1,2,.69999999,.69999999,3.75,7,0,.69999999
195,L1,2,.89999998,.30000001,3.5,7,.59999996,.74999994
196,L1,2,1,.80000001,6.25,7,.19999999,1
197,L1,2,.80000001,.5,1.25,7,.30000001,.71428573
198,L1,2,.80000001,.69999999,6,7,.10000002,.77777779
199,L1,1,.40000001,.40000001,5,7,0,.40000001
200,L1,2,1,.89999998,6.25,7,.10000002,1
201,L1,1,.89999998,.40000001,6.25,7,.49999997,.79999995
202,L1,1,1,.89999998,4.5,7,.10000002,1
203,L1,1,.69999999,.2,6,6.5,.5,.40000001
204,L1,1,1,.30000001,4.75,7,.69999999,1
205,L1,2,1,.80000001,3.75,4.25,.19999999,1
206,L1,1,.89999998,.60000002,4.25,7,.29999995,.85714281
207,L1,1,1,.30000001,5.5,6.25,.69999999,1
208,L1,2,.40000001,.30000001,4,7,.099999994,.33333334
209,L1,1,.89999998,.5,6,7,.39999998,.83333331
